brand,return_window,return_postage,free_shipping_threshold,opened_products,official_sources,reviewed_on
about-face,30 days for a full refund; later returns receive store credit.,Brand pays: free US returns.,US orders over $45 before tax; discount-code orders excluded.,Unconfirmed,"{""return_window"":[""https://aboutface.com/pages/returns-exchanges""],""return_postage"":[""https://aboutface.com/pages/returns-exchanges""],""free_shipping_threshold"":[""https://aboutface.com/pages/orders""],""opened_products"":[]}",2026-09-12
Alpyn Beauty,Must arrive back within 30 days of purchase.,Customer pays a $5 prepaid-label fee.,Continental US standard: $60 or more.,"Yes, lightly used, in original packaging.","{""return_window"":[""https://alpynbeauty.com/pages/clean-beauty-faq""],""return_postage"":[""https://alpynbeauty.com/pages/clean-beauty-faq""],""free_shipping_threshold"":[""https://alpynbeauty.com/policies/shipping-policy""],""opened_products"":[""https://alpynbeauty.com/pages/clean-beauty-faq""]}",2026-09-12
Axiology,Ordinary returns are not accepted.,Unconfirmed,Unconfirmed,No ordinary refund for opened cosmetics.,"{""return_window"":[""https://axiologybeauty.com/pages/shipping-returns""],""return_postage"":[],""free_shipping_threshold"":[],""opened_products"":[""https://axiologybeauty.com/pages/shipping-returns""]}",2026-09-12
BeautyStat,30 days after delivery; contact the brand first.,Customer pays return postage; fee not verified.,Unconfirmed,"No: unused, unopened and in original packaging; faulty products are an exception.","{""return_window"":[""https://beautystat.com/pages/frequently-asked-questions""],""return_postage"":[""https://beautystat.com/pages/frequently-asked-questions""],""free_shipping_threshold"":[],""opened_products"":[""https://beautystat.com/pages/frequently-asked-questions""]}",2026-09-12
Biossance,30 days from ship date.,Unconfirmed,US domestic orders $50 or more after discounts and before tax.,Returns accepted if not satisfied; sets and accessories are final sale.,"{""return_window"":[""https://www.biossance.com/c/returns/""],""return_postage"":[],""free_shipping_threshold"":[""https://www.biossance.com/c/offers/legal-disclaimers/""],""opened_products"":[""https://www.biossance.com/c/returns/""]}",2026-09-15
Charlotte Tilbury,Unconfirmed,Brand pays: free qualifying returns.,US ground: over $50; Silver and Rose Gold loyalty members have no minimum.,"Yes, unused or gently used; engraved items excluded and full kits required.","{""return_window"":[],""return_postage"":[""https://www.charlottetilbury.com/us/help/returns""],""free_shipping_threshold"":[""https://www.charlottetilbury.com/us/help/delivery""],""opened_products"":[""https://www.charlottetilbury.com/us/help/returns""]}",2026-09-12
Cheekbone Beauty,Unconfirmed,Customer arranges and pays postage; fee not verified.,Unconfirmed,"Opened, swatched or tested items: exchange only, not a refund.","{""return_window"":[],""return_postage"":[""https://www.cheekbonebeauty.com/pages/returns""],""free_shipping_threshold"":[],""opened_products"":[""https://www.cheekbonebeauty.com/pages/returns""]}",2026-09-12
Clinique,30 days from purchase.,Brand describes returns as free.,Non-members $50 after discounts; Smart Rewards members no minimum.,"Yes, new or gently used.","{""return_window"":[""https://www.clinique.com/customer-care/help-topics""],""return_postage"":[""https://www.clinique.com/risk-free-trial""],""free_shipping_threshold"":[""https://www.clinique.com/customer-care/shipping""],""opened_products"":[""https://www.clinique.com/customer-care/help-topics""]}",2026-09-15
Clionadh Cosmetics,No ordinary cosmetic returns; separate EU withdrawal rights apply.,Unconfirmed,Unconfirmed,Opened cosmetics are excluded from ordinary returns for hygiene reasons.,"{""return_window"":[""https://clionadhcosmetics.com/policies/refund-policy""],""return_postage"":[],""free_shipping_threshold"":[],""opened_products"":[""https://clionadhcosmetics.com/policies/refund-policy""]}",2026-09-12
Cocokind,30 days after delivery; direct-site purchases only.,Unconfirmed,US orders: $50 or more.,"Yes, new or gently used; trial products and gift cards are final sale.","{""return_window"":[""https://www.cocokind.com/pages/shipping-delivery-faqs""],""return_postage"":[],""free_shipping_threshold"":[""https://www.cocokind.com/pages/shipping-delivery-faqs""],""opened_products"":[""https://www.cocokind.com/pages/shipping-delivery-faqs""]}",2026-09-12
ColourPop,No ordinary returns; damaged-item replacement within 14 days of delivery.,Unconfirmed,US orders over $35.,No ordinary returns or exchanges.,"{""return_window"":[""https://colourpop.com/policies/refund-policy""],""return_postage"":[],""free_shipping_threshold"":[""https://colourpop.com/cart""],""opened_products"":[""https://colourpop.com/policies/refund-policy""]}",2026-09-15
